date,spx,gld,uso,slv,eur2usd
1/2/2008,1447.16,84.86,78.47,15.18,1.47
1/3/2008,1447.16,85.57,78.37,15.29,1.47
1/4/2008,1411.63,85.13,77.31,15.17,1.48
1/7/2008,1416.18,84.77,75.50,15.05,1.47
1/8/2008,1390.19,86.78,76.06,15.59,1.56
1/9/2008,1409.13,86.55,75.25,15.52,1.47
1/10/2008,1420.33,88.25,74.02,16.06,1.48
1/11/2008,1401.02,88.58,73.09,16.08,1.48
1/14/2008,1416.25,89.54,74.25,16.28,1.49
1/15/2008,1380.95,87.99,72.78,15.83,1.48
1/16/2008,1373.20,86.70,71.85,15.65,1.47
1/17/2008,1333.25,86.50,71.03,15.72,1.46
1/18/2008,1325.19,87.42,71.54,16.03,1.46
1/22/2008,1310.50,88.17,70.55,15.90,1.46
1/23/2008,1338.60,87.89,69.50,15.90,1.46
1/24/2008,1352.07,90.08,70.93,16.30,1.48
1/25/2008,1330.61,90.30,71.91,16.30,1.47
1/28/2008,1353.96,91.75,72.35,16.55,1.48
1/29/2008,1362.30,91.15,72.98,16.53,1.48
1/30/2008,1355.81,92.06,73.08,16.67,1.48
1/31/2008,1378.55,91.40,72.35,16.82,1.49
2/1/2008,1395.42,89.35,70.47,16.62,1.48
2/4/2008,1380.82,89.10,71.37,16.51,1.48
2/5/2008,1336.64,87.68,70.15,16.17,1.46
2/6/2008,1326.45,88.95,69.02,16.38,1.46
2/7/2008,1336.91,89.85,69.80,16.67,1.45
2/8/2008,1331.29,91.00,72.90,17.03,1.56
2/11/2008,1339.13,91.33,74.55,17.40,1.45
2/12/2008,1348.86,89.33,73.59,17.03,1.46
2/13/2008,1367.21,89.44,74.11,17.13,1.46
2/14/2008,1348.86,89.71,75.76,17.09,1.46
2/15/2008,1349.99,89.15,75.93,16.95,1.47
2/19/2008,1348.78,91.58,78.81,17.38,1.47
2/20/2008,1360.03,93.24,79.32,17.70,1.47
2/21/2008,1342.53,93.25,77.33,17.70,1.48
2/22/2008,1353.11,93.39,78.60,17.92,1.48
2/25/2008,1371.80,92.74,78.74,17.99,1.48
2/26/2008,1381.29,93.71,80.10,18.60,1.50
2/27/2008,1380.02,94.78,78.92,19.13,1.51
2/28/2008,1367.68,95.99,81.48,19.67,1.52
2/29/2008,1330.63,96.18,80.42,19.67,1.52
3/3/2008,1331.34,97.24,81.32,20.16,1.52
3/4/2008,1326.75,95.18,79.40,19.62,1.52
3/5/2008,1333.70,97.72,83.30,20.62,1.53
3/6/2008,1304.34,96.50,83.89,20.08,1.54
3/7/2008,1293.37,96.09,83.73,20.04,1.53
3/10/2008,1273.37,95.87,85.63,19.48,1.53
3/11/2008,1320.65,95.99,86.34,19.52,1.53
3/12/2008,1308.77,97.01,86.92,19.97,1.55
3/13/2008,1315.48,98.34,87.21,20.41,1.56
3/14/2008,1288.14,98.71,86.51,20.42,1.56
3/17/2008,1276.60,99.17,83.30,19.98,1.57
3/18/2008,1330.74,96.50,85.80,19.38,1.57
3/19/2008,1298.42,93.04,82.29,18.25,1.56
3/20/2008,1329.51,89.91,81.30,16.70,1.54
3/24/2008,1349.88,90.10,80.26,16.79,1.54
3/25/2008,1352.99,92.73,81.47,17.78,1.56
3/26/2008,1341.13,93.80,84.81,18.23,1.58
3/27/2008,1325.76,93.46,85.73,18.32,1.58
3/28/2008,1315.22,91.88,84.37,17.75,1.58
4/1/2008,1370.18,86.86,81.06,16.60,1.57
4/2/2008,1367.53,89.27,83.78,17.25,1.57
4/3/2008,1369.31,89.42,83.65,17.23,1.57
4/7/2008,1372.54,91.17,86.93,17.95,1.56
4/8/2008,1365.54,90.35,87.19,17.51,1.58
4/9/2008,1354.49,92.29,88.90,18.01,1.57
4/10/2008,1360.55,91.77,88.18,17.81,1.58
4/14/2008,1328.32,91.11,89.64,17.51,1.58
4/15/2008,1334.43,91.66,91.44,17.68,1.60
4/16/2008,1364.71,93.27,92.15,18.15,1.59
4/17/2008,1365.56,92.56,92.37,18.01,1.57
4/21/2008,1388.17,90.25,94.38,17.27,1.60
4/22/2008,1375.94,90.27,95.08,17.48,1.59
4/23/2008,1379.93,89.22,95.18,17.00,1.57
4/24/2008,1388.82,87.22,93.20,16.55,1.56
4/28/2008,1396.37,87.69,95.69,16.84,1.56
4/29/2008,1390.94,85.81,92.99,16.38,1.56
5/1/2008,1409.34,83.99,90.38,15.99,1.54
5/5/2008,1407.49,86.27,96.74,16.57,1.55
5/6/2008,1418.26,86.63,98.38,16.73,1.54
5/7/2008,1392.57,85.82,99.80,16.50,1.55
5/8/2008,1397.68,87.24,100.66,16.70,1.55
5/12/2008,1403.58,86.99,100.11,17.00,1.55
5/13/2008,1403.04,85.39,101.71,16.55,1.55
5/14/2008,1408.66,85.20,100.22,16.37,1.55
5/15/2008,1423.57,87.00,100.21,16.56,1.56
5/19/2008,1426.63,89.39,102.80,16.82,1.57
5/20/2008,1413.40,90.90,104.30,17.50,1.58
5/21/2008,1390.71,91.96,108.31,17.86,1.57
5/22/2008,1394.35,90.98,105.63,17.78,1.58
5/27/2008,1385.35,89.36,104.26,17.26,1.57
5/28/2008,1390.84,89.14,105.92,17.26,1.55
5/29/2008,1398.26,86.51,102.26,16.48,1.55
6/2/2008,1385.67,87.96,103.05,16.64,1.55
6/3/2008,1377.65,86.88,100.65,16.59,1.54
6/4/2008,1377.20,86.65,98.98,16.64,1.56
6/5/2008,1404.05,86.45,103.95,16.97,1.58
6/9/2008,1361.76,87.99,109.05,16.94,1.55
6/10/2008,1358.44,85.55,107.02,16.44,1.56
6/11/2008,1335.49,87.02,110.99,16.70,1.55
6/12/2008,1339.87,85.60,111.27,16.35,1.54
6/16/2008,1360.14,87.01,108.99,16.95,1.55
6/17/2008,1350.93,87.25,108.68,16.90,1.55
6/18/2008,1337.81,88.28,110.89,17.19,1.55
6/19/2008,1342.83,88.42,106.91,17.15,1.56
6/23/2008,1318.00,87.09,110.92,16.63,1.56
6/24/2008,1314.29,87.47,110.95,16.49,1.57
6/25/2008,1321.97,87.42,108.50,16.63,1.58
6/26/2008,1283.15,90.61,113.12,17.03,1.58
7/1/2008,1284.91,92.66,114.59,17.90,1.59
7/2/2008,1261.52,93.17,116.84,18.22,1.57
7/3/2008,1262.90,92.06,116.82,18.00,1.57
7/7/2008,1252.31,91.23,114.95,17.60,1.53
7/8/2008,1273.70,90.86,109.92,17.66,1.57
7/9/2008,1244.69,91.50,109.65,17.95,1.58
7/10/2008,1253.39,93.53,114.34,18.12,1.59
7/14/2008,1228.30,95.91,117.48,18.93,1.59
7/15/2008,1214.91,96.17,112.39,18.70,1.58
7/16/2008,1245.36,94.44,109.25,18.55,1.59
7/17/2008,1260.32,94.22,105.53,18.32,1.59
7/21/2008,1260.00,95.12,106.67,18.23,1.58
7/22/2008,1277.00,93.06,103.32,17.76,1.57
7/23/2008,1282.19,90.57,100.02,17.19,1.57
7/24/2008,1252.54,91.33,101.46,17.26,1.57
7/28/2008,1234.37,91.73,100.54,17.36,1.56
7/29/2008,1263.20,90.59,98.04,17.19,1.56
7/30/2008,1284.26,89.52,102.13,17.36,1.56
8/7/2008,1266.07,86.09,96.44,16.07,1.50
8/25/2008,1266.84,80.93,93.10,13.33,1.46
8/26/2008,1271.51,81.23,93.90,13.45,1.47
8/27/2008,1281.66,81.36,95.66,13.35,1.47
8/28/2008,1300.68,82.18,93.39,13.55,1.47
9/2/2008,1277.58,79.20,89.19,12.94,1.45
9/3/2008,1274.98,78.89,88.44,12.75,1.43
9/4/2008,1236.83,78.39,87.02,12.63,1.43
9/8/2008,1267.79,78.86,85.93,11.95,1.41
9/9/2008,1224.51,76.49,82.35,11.18,1.40
9/10/2008,1232.04,74.22,82.97,10.60,1.40
9/11/2008,1249.05,73.08,81.49,10.32,1.42
9/15/2008,1192.70,77.56,76.30,10.95,1.41
9/16/2008,1213.60,76.79,74.99,10.40,1.43
9/17/2008,1156.39,85.46,77.50,11.90,1.43
9/18/2008,1206.51,82.80,79.17,11.89,1.44
9/22/2008,1207.09,89.18,87.62,13.35,1.47
9/23/2008,1188.22,88.32,86.13,13.18,1.46
9/24/2008,1185.87,86.71,84.86,13.09,1.46
9/25/2008,1209.18,86.45,86.69,13.03,1.46
9/29/2008,1106.42,89.57,77.09,12.95,1.41
9/30/2008,1166.36,85.07,82.01,11.85,1.40
10/1/2008,1161.06,85.97,79.59,12.33,1.38
10/2/2008,1114.28,82.33,75.82,10.80,1.38
10/6/2008,1056.89,84.28,71.61,10.75,1.36
10/7/2008,996.23,87.27,72.49,11.38,1.50
10/8/2008,984.94,89.42,72.26,11.51,1.36
10/9/2008,909.92,89.90,69.60,11.95,1.34
10/13/2008,1003.35,81.99,67.78,10.59,1.36
10/14/2008,998.01,82.20,65.03,10.86,1.34
10/15/2008,907.84,83.31,60.73,10.27,1.35
10/16/2008,946.43,79.29,59.34,9.60,1.34
10/20/2008,985.40,78.50,61.80,9.77,1.31
10/21/2008,955.05,76.03,58.77,9.98,1.28
10/22/2008,896.78,71.71,54.93,9.45,1.29
10/23/2008,908.11,70.65,56.60,9.38,1.26
10/27/2008,848.92,72.18,50.85,8.85,1.25
10/28/2008,940.51,73.79,53.22,9.05,1.28
10/29/2008,930.09,74.00,55.68,9.67,1.30
10/30/2008,954.09,72.71,54.00,9.68,1.29
10/31/2008,968.75,71.34,55.59,9.58,1.27
11/3/2008,966.30,71.10,52.49,9.62,1.26
11/4/2008,1005.75,75.48,57.38,10.12,1.30
11/5/2008,952.77,72.80,53.84,10.21,1.29
11/6/2008,904.88,72.22,50.15,9.90,1.27
11/7/2008,930.99,72.50,50.04,9.94,1.27
11/10/2008,919.21,73.58,51.23,10.06,1.27
11/11/2008,898.95,72.05,48.11,9.64,1.25
11/12/2008,852.30,70.00,45.75,9.17,1.25
11/13/2008,911.29,72.15,49.00,9.30,1.28
11/14/2008,873.29,73.30,46.18,9.36,1.26
11/17/2008,850.75,72.65,45.16,9.18,1.26
11/18/2008,859.12,72.51,44.77,9.48,1.26
11/19/2008,806.58,72.26,43.26,9.10,1.25
11/20/2008,752.44,73.45,39.55,8.86,1.24
11/21/2008,800.03,78.85,41.00,9.52,1.26
11/24/2008,851.81,80.91,44.13,10.43,1.29
11/25/2008,857.39,80.87,41.36,10.19,1.30
11/26/2008,887.68,80.38,44.54,10.19,1.29
11/28/2008,896.24,80.31,42.09,10.23,1.27
12/1/2008,816.21,75.65,39.89,9.18,1.26
12/2/2008,848.81,76.95,38.50,9.49,1.27
12/3/2008,870.74,76.18,38.05,9.51,1.27
12/4/2008,845.22,75.50,35.41,9.38,1.28
12/5/2008,876.07,74.52,34.25,9.40,1.27
12/8/2008,909.70,76.20,36.12,9.89,1.49
12/9/2008,888.67,76.33,34.45,9.70,1.29
12/10/2008,899.24,79.75,35.81,10.12,1.30
12/11/2008,873.59,80.65,38.64,10.20,1.33
12/12/2008,879.73,80.81,38.10,10.14,1.34
12/15/2008,868.57,82.60,36.84,10.55,1.37
12/16/2008,913.18,84.46,36.44,11.03,1.41
12/17/2008,904.42,85.43,34.81,11.29,1.44
12/18/2008,885.28,83.87,32.73,10.84,1.43
12/19/2008,887.88,82.63,33.06,10.67,1.39
12/22/2008,871.63,83.46,30.63,10.73,1.40
12/23/2008,863.16,82.63,30.00,10.16,1.39
12/24/2008,868.15,83.46,29.02,10.28,1.40
12/26/2008,872.80,85.60,29.10,10.64,1.40
12/29/2008,869.42,86.35,30.92,10.77,1.40
12/30/2008,890.64,85.90,30.20,10.82,1.41
12/31/2008,903.25,86.52,33.10,11.20,1.40
1/2/2009,931.80,86.23,35.63,11.41,1.39
1/5/2009,927.45,84.48,37.30,11.11,1.36
1/6/2009,934.70,85.13,37.25,11.34,1.35
1/7/2009,906.65,82.75,33.27,10.86,1.36
1/8/2009,909.73,84.46,33.20,10.99,1.37
1/9/2009,890.35,83.92,32.37,11.10,1.35
1/12/2009,870.26,80.76,30.65,10.50,1.34
1/13/2009,871.79,80.88,31.84,10.60,1.32
1/14/2009,842.62,79.79,31.23,10.45,1.32
1/15/2009,843.74,80.39,30.18,10.49,1.32
1/16/2009,850.12,82.71,29.86,11.11,1.33
